event_id,timestamp,log_type,severity,scenario,event_source,event_name,principal_id,arn,source_ip,verb,resource_name,namespace,username,pod_ip,is_privileged,src_addr,dst_addr,src_port,dst_port,vpc_bytes,vpc_action,tags_json,request_parameters_json,user_agent,labels_json,controller_owner,service_type,rbac_change,session_type,session_name,issuer,token_ttl_seconds,identity,is_night_time,rolling_burst_count,is_privileged_pod,untrusted_network_hit,missing_tags_score,vpc_bytes_log,is_unknown_identity,public_service_exposure,rbac_escalation,missing_controller_owner,weak_label_score,weak_tag_score,suspicious_session,long_token_ttl,is_true_anomaly
1aecef81-5f56-4489-9604-671f8bb3def2,2026-06-20 02:45:13+00:00,cloudtrail,CRITICAL,scenario_1_crypto_mining,ec2.amazonaws.com,RunInstances,build-cache-temp,arn:aws:iam::123456789012:user/build-cache-temp,45.142.212.100,,,,,,0.0,,,0.0,0.0,0.0,,"{""Name"": ""untagged-miner-b1ddb""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""miner-27e4b68d""}",aws-cli/2,,,,,,,,0.0,build-cache-temp,1,1,0,1,2,0.0,1,0,0,0,0,4,0,0,1
b5c63e13-3763-4316-81cf-3e9b53743fbd,2026-06-20 02:46:00+00:00,k8s_audit,CRITICAL,scenario_1_crypto_mining,,,,,,create,api-gateway-fdbed052,default,unknown-builder,10.0.4.81,0.0,,,0.0,0.0,0.0,,,,,"{""app"": ""miner""}",,,,,,,0.0,unknown-builder,1,1,0,1,2,0.0,1,0,0,1,3,0,0,0,1
d7ad81cd-fcef-4be8-ae77-82222ab15287,2026-06-20 02:46:06+00:00,cloudtrail,CRITICAL,scenario_1_crypto_mining,ec2.amazonaws.com,RunInstances,build-cache-temp,arn:aws:iam::123456789012:user/build-cache-temp,185.220.101.47,,,,,,0.0,,,0.0,0.0,0.0,,"{""Name"": ""untagged-miner-e6dfe""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""miner-9e808958""}",terraform/1.8,,,,,,,,0.0,build-cache-temp,1,2,0,1,2,0.0,1,0,0,0,0,4,0,0,1
753d6ea1-be36-486c-919b-44c9b004876a,2026-06-20 02:46:08+00:00,k8s_audit,CRITICAL,scenario_1_crypto_mining,,,,,,create,auth-service-63531028,default,unknown-builder,10.0.0.201,1.0,,,0.0,0.0,0.0,,,,,"{""app"": ""miner""}",,,,,,,0.0,unknown-builder,1,2,1,1,2,0.0,1,0,0,1,3,0,0,0,1
f244d627-76b6-48e8-b8f3-d825a0a355db,2026-06-20 02:46:28+00:00,k8s_audit,CRITICAL,scenario_1_crypto_mining,,,,,,create,api-gateway-ce21efb5,default,svc-datapipeline-legacy,192.168.1.158,0.0,,,0.0,0.0,0.0,,,,,"{""app"": ""miner""}",,,,,,,0.0,svc-datapipeline-legacy,1,1,0,1,2,0.0,1,0,0,1,3,0,0,0,1
fa2b7a56-3701-46af-a04f-7f2ef21f431e,2026-06-20 02:46:48+00:00,k8s_audit,CRITICAL,scenario_1_crypto_mining,,,,,,delete,api-gateway-94411cf4,default,unknown-builder,10.0.4.132,1.0,,,0.0,0.0,0.0,,,,,"{""app"": ""miner""}",,,,,,,0.0,unknown-builder,1,3,1,1,2,0.0,1,0,0,0,3,0,0,0,1
d184b063-56e8-4d41-850c-9eb9d55b8c13,2026-06-20 02:47:00+00:00,cloudtrail,CRITICAL,scenario_1_crypto_mining,ec2.amazonaws.com,CreateTags,svc-datapipeline-legacy,arn:aws:iam::123456789012:user/svc-datapipeline-legacy,198.51.100.77,,,,,,0.0,,,0.0,0.0,0.0,,"{""Name"": ""untagged-miner-4c622""}","{""ephemeral"": true, ""region"": ""ap-south-1"", ""resource"": ""miner-cf9296e1""}",aws-cli/2,,,,,,,,0.0,svc-datapipeline-legacy,1,2,0,1,2,0.0,1,0,0,0,0,4,0,0,1
69758c49-9400-4f4a-9952-f6f6ded3e062,2026-06-20 02:47:17+00:00,cloudtrail,CRITICAL,scenario_1_crypto_mining,sts.amazonaws.com,AssumeRole,svc-datapipeline-legacy,arn:aws:sts::123456789012:assumed-role/CICDRole/svc-datapipeline-legacy-66c999d5,52.94.5.153,,,,,,0.0,,,0.0,0.0,0.0,,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""github-oidc"", ""sessionName"": ""svc-datapipeline-legacy-90cf5974""}",terraform/1.8,,,,,assumed_role,svc-datapipeline-legacy-794d317c39,corp-saml,600.0,svc-datapipeline-legacy,1,3,0,1,1,0.0,1,0,0,0,0,0,0,0,1
b58634c4-8e08-4ba4-ab67-ae2ee76d5642,2026-06-20 02:47:19+00:00,k8s_audit,CRITICAL,scenario_1_crypto_mining,,,,,,delete,auth-service-958feb94,default,svc-datapipeline-legacy,192.168.0.253,0.0,,,0.0,0.0,0.0,,,,,"{""app"": ""miner""}",,,,,,,0.0,svc-datapipeline-legacy,1,4,0,1,2,0.0,1,0,0,0,3,0,0,0,1
98708d91-1f9c-44f1-8eed-38298010bc16,2026-06-20 02:47:50+00:00,cloudtrail,CRITICAL,scenario_1_crypto_mining,ec2.amazonaws.com,TerminateInstances,svc-datapipeline-legacy,arn:aws:iam::123456789012:user/svc-datapipeline-legacy,45.142.212.100,,,,,,0.0,,,0.0,0.0,0.0,,"{""Name"": ""untagged-miner-d0689""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""miner-be10b828""}",botocore/1,,,,,,,,0.0,svc-datapipeline-legacy,1,5,0,1,2,0.0,1,0,0,0,0,4,0,0,1
